Name,Shots,TVD,JSD
Exponential,1024,0.4462890625,0.31663457800258654
Exponential,2048,0.34228515625,0.18392738213234927
Exponential,4096,0.255859375,0.10105505617485126
Exponential,8192,0.17333984375,0.047754121987810746
Exponential,16384,0.1290283203125,0.025188544929294465
Exponential,32768,0.0887451171875,0.011213547378220732
Exponential,65536,0.0616912841796875,0.0054098830885071746
Exponential,131072,0.04511260986328125,0.0027733196521819636
Exponential,262144,0.031833648681640625,0.001340742935877905
Exponential,524288,0.021839141845703125,0.000659981121692094
Exponential,1048576,0.015562057495117188,0.0003338708605038528
Exponential,2097152,0.010716438293457031,0.00016038913115659197
Exponential,4194304,0.007733345031738281,8.362596817176989e-05
Exponential,8388608,0.00576174259185791,4.524745308836448e-05
Exponential,16777216,0.004008293151855469,2.1993078909704208e-05
Exponential,33554432,0.0027951300144195557,1.0540499163645072e-05
MultiSpike,1024,0.35546875,0.3135869349389855
MultiSpike,2048,0.279296875,0.2093585182513164
MultiSpike,4096,0.213134765625,0.109534982424077
MultiSpike,8192,0.1466064453125,0.04885183415361788
MultiSpike,16384,0.1112060546875,0.024297297980011213
MultiSpike,32768,0.07720947265625,0.011699449393934296
MultiSpike,65536,0.05291748046875,0.005772624053540884
MultiSpike,131072,0.0380706787109375,0.0028489840147008227
MultiSpike,262144,0.026531219482421875,0.0014049762777083004
MultiSpike,524288,0.019138336181640625,0.0006989669557875461
MultiSpike,1048576,0.013724327087402344,0.00035626080719196546
MultiSpike,2097152,0.009564399719238281,0.00017657158073977294
MultiSpike,4194304,0.006689786911010742,8.43454190031197e-05
MultiSpike,8388608,0.0047005414962768555,4.2080420914602235e-05
MultiSpike,16777216,0.0033939480781555176,2.1441599532532316e-05
MultiSpike,33554432,0.0022986233234405518,1.0482852867137237e-05
Normal,1024,0.408203125,0.25563315726232955
Normal,2048,0.30126953125,0.13309058550497438
Normal,4096,0.21826171875,0.07015321105507365
Normal,8192,0.1497802734375,0.03549341618995471
Normal,16384,0.11163330078125,0.01999765925672375
Normal,32768,0.0780029296875,0.010213143363906545
Normal,65536,0.055145263671875,0.005402679539754815
Normal,131072,0.03722381591796875,0.002677215574628823
Normal,262144,0.027984619140625,0.0014707460897986579
Normal,524288,0.019430160522460938,0.0006722619660575113
Normal,1048576,0.014252662658691406,0.00037232934983840414
Normal,2097152,0.010225296020507812,0.00018994402342524752
Normal,4194304,0.006746768951416016,8.298006205983833e-05
Normal,8388608,0.004844307899475098,4.076376458150601e-05
Normal,16777216,0.003494858741760254,2.067281988605997e-05
Normal,33554432,0.002453237771987915,1.0804609885506982e-05
Spiky,1024,0.33203125,0.3131352291957839
Spiky,2048,0.2666015625,0.2088384654336014
Spiky,4096,0.19482421875,0.10900215924605439
Spiky,8192,0.14013671875,0.048908827120778
Spiky,16384,0.1031494140625,0.024303519224016627
Spiky,32768,0.071624755859375,0.011674950489460798
Spiky,65536,0.0504608154296875,0.005795087306134332
Spiky,131072,0.03521728515625,0.0028694391207190013
Spiky,262144,0.025501251220703125,0.0014128044450533036
Spiky,524288,0.017770767211914062,0.000703799477563394
Spiky,1048576,0.013062477111816406,0.0003568239088430811
Spiky,2097152,0.009106636047363281,0.00017833032836983505
Spiky,4194304,0.006310939788818359,8.465415142090954e-05
Spiky,8388608,0.004354596138000488,4.1911217581424793e-05
Spiky,16777216,0.003142058849334717,2.091438763992293e-05
Spiky,33554432,0.002208322286605835,1.0228980180254146e-05
Uniform,1024,0.51953125,0.4143601812077409
Uniform,2048,0.38427734375,0.21912695901500387
Uniform,4096,0.279052734375,0.10046918950487635
Uniform,8192,0.188232421875,0.04175683167994048
Uniform,16384,0.1385498046875,0.0221509592714701
Uniform,32768,0.097015380859375,0.010949745564097233
Uniform,65536,0.0692596435546875,0.005533567349691997
Uniform,131072,0.048431396484375,0.0027600080963003726
Uniform,262144,0.0354766845703125,0.0014112089584947464
Uniform,524288,0.02487945556640625,0.0007055728532093695
Uniform,1048576,0.017363548278808594,0.0003396940143499139
Uniform,2097152,0.012432575225830078,0.00017339079427506395
Uniform,4194304,0.008409976959228516,8.026302676754571e-05
Uniform,8388608,0.006214618682861328,4.3202082469876764e-05
Uniform,16777216,0.004441976547241211,2.1849488694685244e-05
Uniform,33554432,0.003122270107269287,1.0901412722714604e-05
